m	km	miles	seconds	minutes	hours	leg	route	lon	lat	route_name
18	0.018	0.0111852	3	0.05	0.000833333333333333	1	A	-79.9535207	39.6360116	route1
230	0.23	0.142922	61	1.01666666666667	0.0169444444444444	2	A	-79.9536354	39.6358751	route1
94	0.094	0.0584116	40	0.666666666666667	0.0111111111111111	3	A	-79.952429	39.6340603	route1
188	0.188	0.1168232	51	0.85	0.0141666666666667	4	A	-79.9530105	39.6333452	route1
87	0.087	0.0540618	22	0.366666666666667	0.00611111111111111	5	A	-79.9548683	39.6342483	route1
NA	NA	NA	NA	NA	NA	NA	A	-79.95523	39.6335148	route1
18	0.018	0.0111852	3	0.05	0.000833333333333333	1	B	-79.9535207	39.6360116	route1
230	0.23	0.142922	61	1.01666666666667	0.0169444444444444	2	B	-79.9536354	39.6358751	route1
242	0.242	0.1503788	94	1.56666666666667	0.0261111111111111	3	B	-79.952429	39.6340603	route1
189	0.189	0.1174446	53	0.883333333333333	0.0147222222222222	4	B	-79.953963	39.6322353	route1
11	0.011	0.0068354	3	0.05	0.000833333333333333	5	B	-79.95527	39.6334197	route1
NA	NA	NA	NA	NA	NA	NA	B	-79.95523	39.6335148	route1
