m	km	miles	seconds	minutes	hours	leg	route	lon	lat	route_name
93	0.093	0.0577902	12	0.2	0.00333333333333333	1	A	-79.9714907	39.6545919	route4
653	0.653	0.4057742	107	1.78333333333333	0.0297222222222222	2	A	-79.9725397	39.65482	route4
304	0.304	0.1889056	47	0.783333333333333	0.0130555555555556	3	A	-79.9755617	39.6495652	route4
1682	1.682	1.0451948	124	2.06666666666667	0.0344444444444444	4	A	-79.9789559	39.6487766	route4
1383	1.383	0.8593962	163	2.71666666666667	0.0452777777777778	5	A	-79.9632622	39.6423075	route4
713	0.713	0.4430582	114	1.9	0.0316666666666667	6	A	-79.9566641	39.6318101	route4
38	0.038	0.0236132	19	0.316666666666667	0.00527777777777778	7	A	-79.960905	39.626314	route4
119	0.119	0.0739466	29	0.483333333333333	0.00805555555555556	8	A	-79.9611823	39.6265794	route4
52	0.052	0.0323128	36	0.6	0.01	9	A	-79.9609315	39.6275009	route4
NA	NA	NA	NA	NA	NA	NA	A	-79.9613839	39.6271847	route4
1321	1.321	0.8208694	240	4	0.0666666666666667	1	B	-79.9714907	39.6545919	route4
642	0.642	0.3989388	74	1.23333333333333	0.0205555555555556	2	B	-79.9598517	39.6474722	route4
1390	1.39	0.863746	169	2.81666666666667	0.0469444444444444	3	B	-79.963216	39.6423655	route4
713	0.713	0.4430582	114	1.9	0.0316666666666667	4	B	-79.9566641	39.6318101	route4
38	0.038	0.0236132	19	0.316666666666667	0.00527777777777778	5	B	-79.960905	39.626314	route4
119	0.119	0.0739466	29	0.483333333333333	0.00805555555555556	6	B	-79.9611823	39.6265794	route4
52	0.052	0.0323128	36	0.6	0.01	7	B	-79.9609315	39.6275009	route4
NA	NA	NA	NA	NA	NA	NA	B	-79.9613839	39.6271847	route4
2317	2.317	1.4397838	335	5.58333333333333	0.0930555555555556	1	C	-79.9714907	39.6545919	route4
7	0.007	0.0043498	6	0.1	0.00166666666666667	2	C	-79.9562994	39.6407035	route4
287	0.287	0.1783418	77	1.28333333333333	0.0213888888888889	3	C	-79.9563637	39.6406715	route4
822	0.822	0.5107908	117	1.95	0.0325	4	C	-79.9586678	39.6388095	route4
713	0.713	0.4430582	114	1.9	0.0316666666666667	5	C	-79.9566641	39.6318101	route4
38	0.038	0.0236132	19	0.316666666666667	0.00527777777777778	6	C	-79.960905	39.626314	route4
119	0.119	0.0739466	29	0.483333333333333	0.00805555555555556	7	C	-79.9611823	39.6265794	route4
52	0.052	0.0323128	36	0.6	0.01	8	C	-79.9609315	39.6275009	route4
NA	NA	NA	NA	NA	NA	NA	C	-79.9613839	39.6271847	route4
