m	km	miles	seconds	minutes	hours	leg	route	lon	lat	route_name
1192	1.192	0.7407088	130	2.16666666666667	0.0361111111111111	1	A	-79.9535207	39.6360116	route5
369	0.369	0.2292966	31	0.516666666666667	0.00861111111111111	2	A	-79.9412429	39.6373676	route5
692	0.692	0.4300088	58	0.966666666666667	0.0161111111111111	3	A	-79.9374187	39.638243	route5
1182	1.182	0.7344948	109	1.81666666666667	0.0302777777777778	4	A	-79.9320795	39.6427199	route5
105	0.105	0.065247	12	0.2	0.00333333333333333	5	A	-79.9215414	39.6492509	route5
414	0.414	0.2572596	46	0.766666666666667	0.0127777777777778	6	A	-79.9207494	39.6485508	route5
NA	NA	NA	NA	NA	NA	NA	A	-79.9203079	39.6453106	route5
1192	1.192	0.7407088	130	2.16666666666667	0.0361111111111111	1	B	-79.9535207	39.6360116	route5
384	0.384	0.2386176	32	0.533333333333333	0.00888888888888889	2	B	-79.9412429	39.6373676	route5
490	0.49	0.304486	54	0.9	0.015	3	B	-79.9373278	39.6383623	route5
375	0.375	0.233025	58	0.966666666666667	0.0161111111111111	4	B	-79.9323505	39.6364348	route5
372	0.372	0.2311608	44	0.733333333333333	0.0122222222222222	5	B	-79.9337085	39.6332292	route5
88	0.088	0.0546832	16	0.266666666666667	0.00444444444444444	6	B	-79.9300191	39.6315602	route5
2136	2.136	1.3273104	140	2.33333333333333	0.0388888888888889	7	B	-79.9291085	39.6313185	route5
414	0.414	0.2572596	41	0.683333333333333	0.0113888888888889	8	B	-79.9207494	39.6485508	route5
NA	NA	NA	NA	NA	NA	NA	B	-79.9203079	39.6453106	route5
