m	km	miles	seconds	minutes	hours	leg	route	lon	lat	route_name
18	0.018	0.0111852	3	0.05	0.000833333333333333	1	A	-79.9535207	39.6360116	route4
230	0.23	0.142922	61	1.01666666666667	0.0169444444444444	2	A	-79.9536354	39.6358751	route4
573	0.573	0.3560622	190	3.16666666666667	0.0527777777777778	3	A	-79.952429	39.6340603	route4
176	0.176	0.1093664	59	0.983333333333333	0.0163888888888889	4	A	-79.9559373	39.6297753	route4
557	0.557	0.3461198	90	1.5	0.025	5	A	-79.9576613	39.6306343	route4
38	0.038	0.0236132	19	0.316666666666667	0.00527777777777778	6	A	-79.960905	39.626314	route4
119	0.119	0.0739466	29	0.483333333333333	0.00805555555555556	7	A	-79.9611823	39.6265794	route4
52	0.052	0.0323128	36	0.6	0.01	8	A	-79.9609315	39.6275009	route4
NA	NA	NA	NA	NA	NA	NA	A	-79.9613839	39.6271847	route4
104	0.104	0.0646256	22	0.366666666666667	0.00611111111111111	1	B	-79.9535207	39.6360116	route4
345	0.345	0.214383	62	1.03333333333333	0.0172222222222222	2	B	-79.9543239	39.6354777	route4
252	0.252	0.1565928	88	1.46666666666667	0.0244444444444444	3	B	-79.9548081	39.6376538	route4
628	0.628	0.3902392	88	1.46666666666667	0.0244444444444444	4	B	-79.9575292	39.6373006	route4
713	0.713	0.4430582	114	1.9	0.0316666666666667	5	B	-79.9566641	39.6318101	route4
38	0.038	0.0236132	19	0.316666666666667	0.00527777777777778	6	B	-79.960905	39.626314	route4
119	0.119	0.0739466	29	0.483333333333333	0.00805555555555556	7	B	-79.9611823	39.6265794	route4
52	0.052	0.0323128	36	0.6	0.01	8	B	-79.9609315	39.6275009	route4
NA	NA	NA	NA	NA	NA	NA	B	-79.9613839	39.6271847	route4
18	0.018	0.0111852	3	0.05	0.000833333333333333	1	C	-79.9535207	39.6360116	route4
230	0.23	0.142922	61	1.01666666666667	0.0169444444444444	2	C	-79.9536354	39.6358751	route4
573	0.573	0.3560622	190	3.16666666666667	0.0527777777777778	3	C	-79.952429	39.6340603	route4
1044	1.044	0.6487416	162	2.7	0.045	4	C	-79.9559373	39.6297753	route4
314	0.314	0.1951196	38	0.633333333333333	0.0105555555555556	5	C	-79.9628701	39.6220614	route4
243	0.243	0.1510002	24	0.4	0.00666666666666667	6	C	-79.9625804	39.624555	route4
38	0.038	0.0236132	19	0.316666666666667	0.00527777777777778	7	C	-79.960905	39.626314	route4
119	0.119	0.0739466	29	0.483333333333333	0.00805555555555556	8	C	-79.9611823	39.6265794	route4
52	0.052	0.0323128	36	0.6	0.01	9	C	-79.9609315	39.6275009	route4
NA	NA	NA	NA	NA	NA	NA	C	-79.9613839	39.6271847	route4
