m	km	miles	seconds	minutes	hours	leg	route	lon	lat	route_name
428	0.428	0.2659592	36	0.6	0.01	1	A	-79.9946093	39.6272987	route3
546	0.546	0.3392844	70	1.16666666666667	0.0194444444444444	2	A	-79.9906391	39.6249829	route3
3239	3.239	2.0127146	126	2.1	0.035	3	A	-79.9876642	39.6285054	route3
302	0.302	0.1876628	14	0.233333333333333	0.00388888888888889	4	A	-80.0081976	39.651768	route3
905	0.905	0.562367	85	1.41666666666667	0.0236111111111111	5	A	-80.0091326	39.6543265	route3
2520	2.52	1.565928	213	3.55	0.0591666666666667	6	A	-80.0010547	39.6592092	route3
87	0.087	0.0540618	26	0.433333333333333	0.00722222222222222	7	A	-79.9776657	39.6473347	route3
NA	NA	NA	NA	NA	NA	NA	A	-79.9767432	39.6474697	route3
428	0.428	0.2659592	36	0.6	0.01	1	B	-79.9946093	39.6272987	route3
3818	3.818	2.3725052	443	7.38333333333333	0.123055555555556	2	B	-79.9906391	39.6249829	route3
283	0.283	0.1758562	75	1.25	0.0208333333333333	3	B	-79.9584984	39.6296969	route3
1384	1.384	0.8600176	187	3.11666666666667	0.0519444444444444	4	B	-79.9566641	39.6318101	route3
1472	1.472	0.9147008	90	1.5	0.025	5	B	-79.963216	39.6423655	route3
73	0.073	0.0453622	11	0.183333333333333	0.00305555555555556	6	B	-79.9775309	39.6474064	route3
NA	NA	NA	NA	NA	NA	NA	B	-79.9767432	39.6474697	route3
