m	km	miles	seconds	minutes	hours	leg	route	lon	lat	route_name
887	0.887	0.5511818	57	0.95	0.0158333333333333	1	A	-80.2609176	40.4904257	route5
1197	1.197	0.7438158	70	1.16666666666667	0.0194444444444444	2	A	-80.2588754	40.4979313	route5
270	0.27	0.167778	13	0.216666666666667	0.00361111111111111	3	A	-80.2678424	40.494497	route5
16534	16.534	10.2742276	594	9.9	0.165	4	A	-80.2687323	40.4921657	route5
1080	1.08	0.671112	48	0.8	0.0133333333333333	5	A	-80.1143302	40.4246822	route5
32755	32.755	20.353957	1139	18.9833333333333	0.316388888888889	6	A	-80.1037771	40.4199341	route5
5684	5.684	3.5320376	232	3.86666666666667	0.0644444444444444	7	A	-80.2473686	40.1908832	route5
372	0.372	0.2311608	19	0.316666666666667	0.00527777777777778	8	A	-80.1965793	40.1625799	route5
62814	62.814	39.0326196	2036	33.9333333333333	0.565555555555556	9	A	-80.1937667	40.1605189	route5
567	0.567	0.3523338	43	0.716666666666667	0.0119444444444444	10	A	-80.0110542	39.6591584	route5
1097	1.097	0.6816758	117	1.95	0.0325	11	A	-80.012008	39.6544994	route5
2318	2.318	1.4404052	184	3.06666666666667	0.0511111111111111	12	A	-80.0010547	39.6592092	route5
1106	1.106	0.6872684	152	2.53333333333333	0.0422222222222222	13	A	-79.9791016	39.6487732	route5
839	0.839	0.5213546	113	1.88333333333333	0.0313888888888889	14	A	-79.9667212	39.6516044	route5
2462	2.462	1.5298868	251	4.18333333333333	0.0697222222222222	15	A	-79.9633721	39.6574335	route5
1236	1.236	0.7680504	82	1.36666666666667	0.0227777777777778	16	A	-79.936805	39.6526657	route5
1220	1.22	0.758108	112	1.86666666666667	0.0311111111111111	17	A	-79.9324397	39.6428614	route5
105	0.105	0.065247	12	0.2	0.00333333333333333	18	A	-79.9215414	39.6492509	route5
414	0.414	0.2572596	46	0.766666666666667	0.0127777777777778	19	A	-79.9207494	39.6485508	route5
NA	NA	NA	NA	NA	NA	NA	A	-79.9203079	39.6453106	route5
