m	km	miles	seconds	minutes	hours	leg	route	lon	lat	route_name
253	0.253	0.1572142	29	0.483333333333333	0.00805555555555556	1	A	-79.9266102	39.6877105	route2
589	0.589	0.3660046	50	0.833333333333333	0.0138888888888889	2	A	-79.9236804	39.687548	route2
4063	4.063	2.5247482	311	5.18333333333333	0.0863888888888889	3	A	-79.9188811	39.6858474	route2
1052	1.052	0.6537128	93	1.55	0.0258333333333333	4	A	-79.9131344	39.6526655	route2
105	0.105	0.065247	17	0.283333333333333	0.00472222222222222	5	A	-79.9215414	39.6492509	route2
2455	2.455	1.525537	166	2.76666666666667	0.0461111111111111	6	A	-79.9207494	39.6485508	route2
327	0.327	0.2031978	30	0.5	0.00833333333333333	7	A	-79.931851	39.6295388	route2
168	0.168	0.1043952	21	0.35	0.00583333333333333	8	A	-79.9354854	39.6299943	route2
2009	2.009	1.2483926	199	3.31666666666667	0.0552777777777778	9	A	-79.9341336	39.6289036	route2
572	0.572	0.3554408	118	1.96666666666667	0.0327777777777778	10	A	-79.9504307	39.6234641	route2
83	0.083	0.0515762	25	0.416666666666667	0.00694444444444444	11	A	-79.9570973	39.6237636	route2
NA	NA	NA	NA	NA	NA	NA	A	-79.9573895	39.6244415	route2
253	0.253	0.1572142	29	0.483333333333333	0.00805555555555556	1	B	-79.9266102	39.6877105	route2
589	0.589	0.3660046	50	0.833333333333333	0.0138888888888889	2	B	-79.9236804	39.687548	route2
2142	2.142	1.3310388	176	2.93333333333333	0.0488888888888889	3	B	-79.9188811	39.6858474	route2
2501	2.501	1.5541214	215	3.58333333333333	0.0597222222222222	4	B	-79.9182051	39.6672974	route2
1115	1.115	0.692861	90	1.5	0.025	5	B	-79.936805	39.6526657	route2
219	0.219	0.1360866	17	0.283333333333333	0.00472222222222222	6	B	-79.9335475	39.643533	route2
2662	2.662	1.6541668	275	4.58333333333333	0.0763888888888889	7	B	-79.9327831	39.6419812	route2
322	0.322	0.2000908	85	1.41666666666667	0.0236111111111111	8	B	-79.9538702	39.632189	route2
127	0.127	0.0789178	40	0.666666666666667	0.0111111111111111	9	B	-79.9559373	39.6297753	route2
89	0.089	0.0553046	25	0.416666666666667	0.00694444444444444	10	B	-79.9567493	39.6288173	route2
267	0.267	0.1659138	38	0.633333333333333	0.0105555555555556	11	B	-79.9558756	39.628383	route2
41	0.041	0.0254774	9	0.15	0.0025	12	B	-79.95502	39.6261529	route2
274	0.274	0.1702636	47	0.783333333333333	0.0130555555555556	13	B	-79.9554907	39.6260868	route2
184	0.184	0.1143376	36	0.6	0.01	14	B	-79.9549516	39.6236541	route2
83	0.083	0.0515762	25	0.416666666666667	0.00694444444444444	15	B	-79.9570973	39.6237636	route2
NA	NA	NA	NA	NA	NA	NA	B	-79.9573895	39.6244415	route2
253	0.253	0.1572142	29	0.483333333333333	0.00805555555555556	1	C	-79.9266102	39.6877105	route2
589	0.589	0.3660046	50	0.833333333333333	0.0138888888888889	2	C	-79.9236804	39.687548	route2
2142	2.142	1.3310388	176	2.93333333333333	0.0488888888888889	3	C	-79.9188811	39.6858474	route2
3073	3.073	1.9095622	298	4.96666666666667	0.0827777777777778	4	C	-79.9182051	39.6672974	route2
948	0.948	0.5890872	87	1.45	0.0241666666666667	5	C	-79.9418462	39.6493909	route2
484	0.484	0.3007576	47	0.783333333333333	0.0130555555555556	6	C	-79.9475688	39.6426172	route2
356	0.356	0.2212184	52	0.866666666666667	0.0144444444444444	7	C	-79.9503636	39.6389654	route2
451	0.451	0.2802514	92	1.53333333333333	0.0255555555555556	8	C	-79.953536	39.6372138	route2
198	0.198	0.1230372	44	0.733333333333333	0.0122222222222222	9	C	-79.95527	39.6334197	route2
694	0.694	0.4312516	126	2.1	0.035	10	C	-79.9566189	39.6320015	route2
233	0.233	0.1447862	54	0.9	0.015	11	C	-79.9607045	39.6266403	route2
71	0.071	0.0441194	14	0.233333333333333	0.00388888888888889	12	C	-79.9588287	39.6251457	route2
196	0.196	0.1217944	50	0.833333333333333	0.0138888888888889	13	C	-79.959305	39.6246249	route2
39	0.039	0.0242346	15	0.25	0.00416666666666667	14	C	-79.9574527	39.6235839	route2
83	0.083	0.0515762	40	0.666666666666667	0.0111111111111111	15	C	-79.9570973	39.6237636	route2
NA	NA	NA	NA	NA	NA	NA	C	-79.9573895	39.6244415	route2
