m	km	miles	seconds	minutes	hours	leg	route	lon	lat	route_name
18	0.018	0.0111852	3	0.05	0.000833333333333333	1	A	-79.9535207	39.6360116	route2
230	0.23	0.142922	61	1.01666666666667	0.0169444444444444	2	A	-79.9536354	39.6358751	route2
573	0.573	0.3560622	190	3.16666666666667	0.0527777777777778	3	A	-79.952429	39.6340603	route2
127	0.127	0.0789178	40	0.666666666666667	0.0111111111111111	4	A	-79.9559373	39.6297753	route2
89	0.089	0.0553046	25	0.416666666666667	0.00694444444444444	5	A	-79.9567493	39.6288173	route2
267	0.267	0.1659138	38	0.633333333333333	0.0105555555555556	6	A	-79.9558756	39.628383	route2
41	0.041	0.0254774	9	0.15	0.0025	7	A	-79.95502	39.6261529	route2
274	0.274	0.1702636	47	0.783333333333333	0.0130555555555556	8	A	-79.9554907	39.6260868	route2
184	0.184	0.1143376	36	0.6	0.01	9	A	-79.9549516	39.6236541	route2
83	0.083	0.0515762	25	0.416666666666667	0.00694444444444444	10	A	-79.9570973	39.6237636	route2
NA	NA	NA	NA	NA	NA	NA	A	-79.9573895	39.6244415	route2
18	0.018	0.0111852	3	0.05	0.000833333333333333	1	B	-79.9535207	39.6360116	route2
230	0.23	0.142922	61	1.01666666666667	0.0169444444444444	2	B	-79.9536354	39.6358751	route2
573	0.573	0.3560622	190	3.16666666666667	0.0527777777777778	3	B	-79.952429	39.6340603	route2
176	0.176	0.1093664	59	0.983333333333333	0.0163888888888889	4	B	-79.9559373	39.6297753	route2
516	0.516	0.3206424	86	1.43333333333333	0.0238888888888889	5	B	-79.9576613	39.6306343	route2
233	0.233	0.1447862	54	0.9	0.015	6	B	-79.9607045	39.6266403	route2
71	0.071	0.0441194	14	0.233333333333333	0.00388888888888889	7	B	-79.9588287	39.6251457	route2
196	0.196	0.1217944	50	0.833333333333333	0.0138888888888889	8	B	-79.959305	39.6246249	route2
39	0.039	0.0242346	15	0.25	0.00416666666666667	9	B	-79.9574527	39.6235839	route2
83	0.083	0.0515762	40	0.666666666666667	0.0111111111111111	10	B	-79.9570973	39.6237636	route2
NA	NA	NA	NA	NA	NA	NA	B	-79.9573895	39.6244415	route2
104	0.104	0.0646256	22	0.366666666666667	0.00611111111111111	1	C	-79.9535207	39.6360116	route2
345	0.345	0.214383	62	1.03333333333333	0.0172222222222222	2	C	-79.9543239	39.6354777	route2
252	0.252	0.1565928	88	1.46666666666667	0.0244444444444444	3	C	-79.9548081	39.6376538	route2
628	0.628	0.3902392	88	1.46666666666667	0.0244444444444444	4	C	-79.9575292	39.6373006	route2
673	0.673	0.4182022	110	1.83333333333333	0.0305555555555556	5	C	-79.9566641	39.6318101	route2
233	0.233	0.1447862	54	0.9	0.015	6	C	-79.9607045	39.6266403	route2
71	0.071	0.0441194	14	0.233333333333333	0.00388888888888889	7	C	-79.9588287	39.6251457	route2
196	0.196	0.1217944	50	0.833333333333333	0.0138888888888889	8	C	-79.959305	39.6246249	route2
39	0.039	0.0242346	15	0.25	0.00416666666666667	9	C	-79.9574527	39.6235839	route2
83	0.083	0.0515762	40	0.666666666666667	0.0111111111111111	10	C	-79.9570973	39.6237636	route2
NA	NA	NA	NA	NA	NA	NA	C	-79.9573895	39.6244415	route2
